Total_Feedback_Given,Total_Questions_Configured,Question_Text,Rating_Count_1,Rating_Count_2,Rating_Count_3,Rating_Count_4,Rating_Count_5,Original_Average_Percentage_Text,Course Name ,Basic_Course_Category,Average_Rating
1,12,How much of the syllabus was covered in the class?,0,0,1,0,0,3.00 / 60.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3.0
1,12,How well did the teachers prepare for the classes?,0,0,0,0,1,5.00 / 100.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,5.0
1,12,How well were the teachers able to communicate?,0,0,0,0,1,5.00 / 100.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,5.0
1,12,The teacher’s approach to teaching can best be described as,0,0,1,0,0,3.00 / 60.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3.0
1,12,Fairness of the internal evaluation process by the teachers.,0,0,0,1,0,4.00 / 80.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,4.0
1,12,Was your performance in assignments discussed with you?,0,0,0,1,0,4.00 / 80.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,4.0
1,12,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,1,0,0,3.00 / 60.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3.0
1,12,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,1,0,0,0,2.00 / 40.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,2.0
1,12,The institution provides multiple opportunities to learn and grow.,0,0,0,1,0,4.00 / 80.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,4.0
1,12,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,1,0,0,3.00 / 60.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3.0
1,12,Your mentor does a necessary follow-up with an assigned task to you.,0,0,1,0,0,3.00 / 60.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3.0
1,12,The teachers illustrate the concepts through examples and applications.,0,0,0,0,1,5.00 / 100.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,5.0
1,12,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,1,0,0,0,2.00 / 40.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,2.0
1,12,Teachers are able to identify your weaknesses and help you to overcome them.,0,0,1,0,0,3.00 / 60.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3.0
1,12,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,1,0,0,3.00 / 60.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3.0
1,12,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,1,0,0,3.00 / 60.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3.0
1,12,Teachers encourage you to participate in extracurricular activities.,0,0,0,1,0,4.00 / 80.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,4.0
1,12,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,0,0,0,2.00 / 40.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,2.0
1,12,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,0,1,0,4.00 / 80.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,4.0
1,12,The overall quality of the teaching-learning process in your institute is very good.,0,0,1,0,0,3.00 / 60.00,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3.0
1,144,How much of the syllabus was covered in the class?,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,5.0
1,144,How well did the teachers prepare for the classes?,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,5.0
1,144,How well were the teachers able to communicate?,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,5.0
1,144,The teacher’s approach to teaching can best be described as,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,5.0
1,144,Fairness of the internal evaluation process by the teachers.,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,5.0
1,144,Was your performance in assignments discussed with you?,0,0,0,1,0,4.00 / 80.00,FYBA,BACHELOR OF ARTS,4.0
1,144,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,1,0,0,3.00 / 60.00,FYBA,BACHELOR OF ARTS,3.0
1,144,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,5.0
1,144,The institution provides multiple opportunities to learn and grow.,0,0,0,1,0,4.00 / 80.00,FYBA,BACHELOR OF ARTS,4.0
1,144,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,5.0
1,144,Your mentor does a necessary follow-up with an assigned task to you.,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,5.0
1,144,The teachers illustrate the concepts through examples and applications.,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,5.0
1,144,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,5.0
1,144,Teachers are able to identify your weaknesses and help you to overcome them.,0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,5.0
1,144,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,0,1,0,4.00 / 80.00,FYBA,BACHELOR OF ARTS,4.0
1,144,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,0,1,0,4.00 / 80.00,FYBA,BACHELOR OF ARTS,4.0
1,144,Teachers encourage you to participate in extracurricular activities.,0,0,0,1,0,4.00 / 80.00,FYBA,BACHELOR OF ARTS,4.0
1,144,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,0,1,0,4.00 / 80.00,FYBA,BACHELOR OF ARTS,4.0
1,144,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,0,0,1,5.00 / 100.00,FYBA,BACHELOR OF ARTS,5.0
1,144,The overall quality of the teaching-learning process in your institute is very good.,0,0,0,1,0,4.00 / 80.00,FYBA,BACHELOR OF ARTS,4.0
74,119,How much of the syllabus was covered in the class?,1,2,13,27,31,4.15 / 82.97,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.15
74,119,How well did the teachers prepare for the classes?,1,1,14,52,6,3.82 / 76.49,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),3.82
74,119,How well were the teachers able to communicate?,2,1,7,28,36,4.28 / 85.68,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.28
74,119,The teacher’s approach to teaching can best be described as,0,5,17,35,17,3.86 / 77.30,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),3.86
74,119,Fairness of the internal evaluation process by the teachers.,3,3,9,21,38,4.19 / 83.78,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.19
74,119,Was your performance in assignments discussed with you?,1,3,8,27,35,4.24 / 84.86,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.24
74,119,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",2,6,22,10,34,3.92 / 78.38,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),3.92
74,119,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",1,4,12,40,17,3.92 / 78.38,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),3.92
74,119,The institution provides multiple opportunities to learn and grow.,1,3,8,43,19,4.03 / 80.54,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.03
74,119,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,3,9,32,30,4.20 / 84.05,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.2
74,119,Your mentor does a necessary follow-up with an assigned task to you.,2,4,11,30,27,4.03 / 80.54,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.03
74,119,The teachers illustrate the concepts through examples and applications.,1,4,7,27,35,4.23 / 84.59,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.23
74,119,The teachers identify your strengths and encourage you to provide the proper level of challenges.,1,2,6,32,33,4.27 / 85.41,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.27
74,119,Teachers are able to identify your weaknesses and help you to overcome them.,1,3,12,34,24,4.04 / 80.81,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.04
74,119,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,4,9,46,15,3.97 / 79.46,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),3.97
74,119,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",1,5,5,44,19,4.01 / 80.27,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.01
74,119,Teachers encourage you to participate in extracurricular activities.,1,2,5,34,32,4.27 / 85.41,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.27
74,119,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",1,5,10,35,23,4.00 / 80.00,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.0
74,119,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",19,5,26,18,6,2.82 / 56.49,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),2.82
74,119,The overall quality of the teaching-learning process in your institute is very good.,0,3,10,36,25,4.12 / 82.43,FY BCOM (ACCOUNTING & FINANCE),BACHELOR OF COMMERCE (ACCOUNTING AND FINANCE),4.12
20,33,How much of the syllabus was covered in the class?,0,0,1,4,15,4.70 / 94.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.7
20,33,How well did the teachers prepare for the classes?,1,1,0,12,6,4.05 / 81.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.05
20,33,How well were the teachers able to communicate?,0,1,2,3,14,4.50 / 90.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.5
20,33,The teacher’s approach to teaching can best be described as,0,1,1,8,10,4.35 / 87.00,FY BCOM (BANKING & INSURANCE),BACHELOR OF COMMERCE (BANKING AND INSURANCE),4.35
